id_registro,valor_registro,data_registro,fk_modelo_componente
443,1,"2023-10-10 13:07:52",1
444,0,"2023-10-10 13:07:52",1
445,2419,"2023-10-10 13:07:52",1
446,0,"2023-10-10 13:07:52",1
447,2419,"2023-10-10 13:07:52",1
448,511.42,"2023-10-10 13:07:52",7
449,395.18,"2023-10-10 13:07:52",7
450,116.24,"2023-10-10 13:07:52",7
451,22.7,"2023-10-10 13:07:52",7
452,8.32022528,"2023-10-10 13:07:52",4
453,3.005329408,"2023-10-10 13:07:52",4
454,5.314895872,"2023-10-10 13:07:52",4
455,3.005329408,"2023-10-10 13:07:52",4
456,63.9,"2023-10-10 13:07:52",4
457,4,"2023-10-10 13:07:55",1
458,8,"2023-10-10 13:07:55",1
459,94373.4375,"2023-10-10 13:07:55",1
460,67269.15624999953,"2023-10-10 13:07:55",1
461,3997836.53125,"2023-10-10 13:07:55",1
462,1,"2023-10-10 13:07:55",1
463,0,"2023-10-10 13:07:55",1
464,2419,"2023-10-10 13:07:55",1
465,0,"2023-10-10 13:07:55",1
466,2419,"2023-10-10 13:07:55",1
467,511.42,"2023-10-10 13:07:55",7
468,395.18,"2023-10-10 13:07:55",7
469,116.24,"2023-10-10 13:07:55",7
470,22.7,"2023-10-10 13:07:55",7
471,8.32022528,"2023-10-10 13:07:55",4
472,3.019153408,"2023-10-10 13:07:55",4
473,5.3010718720000005,"2023-10-10 13:07:55",4
474,3.019153408,"2023-10-10 13:07:55",4
475,63.7,"2023-10-10 13:07:55",4
476,4,"2023-10-10 13:07:57",1
477,8,"2023-10-10 13:07:57",1
478,94373.75,"2023-10-10 13:07:57",1
479,67269.49999999953,"2023-10-10 13:07:57",1
480,3997854.625,"2023-10-10 13:07:57",1
481,3,"2023-10-10 13:07:57",1
482,0,"2023-10-10 13:07:57",1
483,2419,"2023-10-10 13:07:57",1
484,0,"2023-10-10 13:07:57",1
485,2419,"2023-10-10 13:07:57",1
486,511.42,"2023-10-10 13:07:57",7
487,395.18,"2023-10-10 13:07:57",7
488,116.24,"2023-10-10 13:07:57",7
489,22.7,"2023-10-10 13:07:57",7
490,8.32022528,"2023-10-10 13:07:57",4
491,3.041878016,"2023-10-10 13:07:57",4
492,5.278347264000001,"2023-10-10 13:07:57",4
493,3.041878016,"2023-10-10 13:07:57",4
494,63.4,"2023-10-10 13:07:57",4
